pk,created_at,sentiment_noneu,sentiments_labels,bert_sentiment_labels,vader_sentiment_labels,distilbert_sentiment_labels,flair_sentiment_labels,roberta_sentiment_labels,sentistrength_sentiment_labels
328,28/03/2020 12:53,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEU
329,28/03/2020 13:41,POS,POS,NEU,NEU,NEG,POS,POS,POS
330,28/03/2020 14:17,POS,NEU,NEU,NEG,NEG,NEG,NEG,NEG
331,28/03/2020 16:50,NEG,NEG,NEU,POS,NEG,NEG,NEG,NEG
332,28/03/2020 18:38,POS,POS,POS,POS,POS,POS,POS,POS
333,28/03/2020 19:42,POS,POS,POS,POS,NEG,POS,POS,POS
334,28/03/2020 20:38,POS,POS,POS,POS,NEG,NEG,POS,POS
335,28/03/2020 22:00,NEG,NEU,NEU,NEU,NEG,POS,POS,NEU
336,28/03/2020 22:17,NEG,NEG,NEU,NEG,POS,NEG,NEG,NEG
337,29/03/2020 00:00,POS,POS,NEU,NEU,NEG,NEG,POS,NEU
338,29/03/2020 05:32,NEG,NEG,NEU,NEG,NEG,NEG,NEG,NEG
339,29/03/2020 12:19,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG
340,29/03/2020 12:48,NEG,NEG,NEG,POS,POS,NEG,NEG,NEU
341,29/03/2020 18:30,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
342,29/03/2020 18:55,NEG,NEU,NEU,POS,NEG,NEG,POS,NEU
343,29/03/2020 20:03,POS,POS,POS,POS,POS,POS,POS,POS
344,29/03/2020 21:05,POS,POS,NEU,NEU,NEG,NEG,POS,NEU
345,29/03/2020 21:28,POS,POS,POS,NEU,NEG,POS,POS,POS
346,29/03/2020 21:58,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
347,30/03/2020 05:59,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
348,30/03/2020 08:12,NEG,NEG,POS,POS,NEG,POS,POS,POS
349,30/03/2020 09:28,POS,POS,NEU,POS,NEG,POS,NEG,POS
350,30/03/2020 09:52,POS,POS,NEU,POS,NEG,POS,POS,NEG
351,30/03/2020 20:38,POS,POS,POS,POS,POS,POS,POS,POS
352,30/03/2020 20:52,POS,POS,POS,POS,POS,POS,POS,POS
353,30/03/2020 21:11,POS,POS,NEU,POS,NEG,POS,POS,NEU
354,30/03/2020 21:53,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG
355,30/03/2020 22:21,NEG,NEU,NEU,NEG,NEG,NEG,POS,NEG
356,30/03/2020 22:53,NEG,NEU,NEG,POS,NEG,NEG,NEG,NEU
357,30/03/2020 23:22,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEU
358,31/03/2020 08:10,NEG,NEU,NEU,NEG,NEG,NEG,NEG,NEG
359,31/03/2020 09:58,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
360,31/03/2020 12:26,POS,POS,POS,POS,NEG,POS,POS,NEG
361,31/03/2020 12:34,POS,NEU,NEU,NEU,POS,POS,POS,NEG
362,31/03/2020 14:20,NEG,NEG,NEG,POS,NEG,NEG,POS,NEU
363,31/03/2020 15:16,NEG,NEG,POS,POS,POS,POS,POS,POS
364,31/03/2020 16:27,POS,POS,POS,NEU,NEG,NEG,POS,NEU
365,31/03/2020 16:38,NEG,NEG,NEU,POS,NEG,NEG,NEG,POS
366,31/03/2020 19:55,POS,POS,POS,POS,NEG,NEG,POS,NEG
367,01/04/2020 00:36,POS,POS,POS,POS,NEG,NEG,POS,POS
368,01/04/2020 06:30,NEG,NEU,NEU,NEU,NEG,NEG,POS,NEU
369,01/04/2020 08:07,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
370,01/04/2020 09:56,NEG,NEG,NEU,NEG,NEG,POS,POS,NEG
371,01/04/2020 09:56,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEU
372,01/04/2020 11:21,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
373,01/04/2020 11:40,NEG,NEU,NEU,NEU,NEG,NEG,NEG,NEG
374,01/04/2020 13:17,POS,POS,NEG,NEU,NEG,NEG,NEG,NEU
375,01/04/2020 13:43,POS,POS,POS,POS,POS,POS,POS,POS
376,01/04/2020 14:45,POS,POS,POS,POS,POS,POS,POS,POS
377,01/04/2020 17:54,NEG,NEG,NEU,POS,NEG,NEG,NEG,POS
378,01/04/2020 23:02,POS,POS,NEU,POS,NEG,NEG,NEG,NEU
379,02/04/2020 05:08,POS,POS,NEU,POS,NEG,NEG,NEG,NEU
380,02/04/2020 08:20,POS,POS,POS,POS,POS,POS,POS,NEU
381,02/04/2020 09:41,NEG,NEU,NEU,NEU,NEG,NEG,POS,POS
382,02/04/2020 10:50,POS,POS,NEU,NEU,NEG,NEG,POS,NEU
383,02/04/2020 11:29,NEG,NEG,NEU,NEG,NEG,NEG,NEG,NEG
384,02/04/2020 11:30,POS,POS,POS,POS,POS,POS,POS,POS
385,02/04/2020 16:35,POS,POS,NEU,NEG,NEG,POS,NEG,NEG
386,02/04/2020 17:34,POS,POS,POS,POS,NEG,POS,POS,POS
387,02/04/2020 17:42,POS,NEU,NEU,NEU,NEG,NEG,NEG,NEU
388,02/04/2020 17:56,NEG,NEG,POS,POS,POS,POS,POS,NEG
389,02/04/2020 18:25,POS,POS,POS,POS,POS,POS,POS,POS
390,02/04/2020 20:28,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
391,02/04/2020 21:12,POS,POS,POS,POS,POS,NEG,POS,POS
392,02/04/2020 21:32,POS,POS,POS,POS,POS,POS,POS,NEG
393,03/04/2020 08:04,NEG,NEG,NEG,POS,NEG,NEG,NEG,POS
394,03/04/2020 08:10,NEG,NEG,NEG,POS,NEG,NEG,POS,NEG
395,03/04/2020 09:08,NEG,NEG,NEG,NEU,NEG,POS,NEG,NEG
396,03/04/2020 09:11,POS,POS,NEU,NEU,POS,POS,POS,NEU
397,03/04/2020 09:23,POS,NEU,NEU,POS,POS,NEG,POS,POS
398,03/04/2020 12:06,POS,POS,POS,POS,POS,POS,POS,NEU
399,03/04/2020 13:47,POS,POS,POS,POS,NEG,POS,POS,NEU
400,03/04/2020 14:13,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
401,03/04/2020 16:49,NEG,NEG,NEG,POS,NEG,NEG,NEG,POS
402,03/04/2020 17:53,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
403,03/04/2020 18:10,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
404,03/04/2020 18:41,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEU
405,03/04/2020 19:04,POS,POS,POS,NEG,NEG,POS,POS,POS
406,03/04/2020 20:21,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
407,03/04/2020 21:06,NEG,NEU,NEU,NEU,NEG,POS,POS,NEG
408,03/04/2020 22:04,POS,POS,NEU,POS,POS,POS,POS,NEU
409,03/04/2020 22:18,POS,POS,NEU,NEU,NEG,POS,POS,NEU
410,03/04/2020 23:30,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS
411,04/04/2020 08:53,NEG,NEU,NEU,NEU,NEG,NEG,NEG,NEG
412,04/04/2020 10:05,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
413,04/04/2020 10:07,POS,POS,POS,POS,POS,POS,POS,POS
414,04/04/2020 11:06,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
415,04/04/2020 11:27,NEG,NEG,NEU,POS,NEG,POS,POS,NEU
416,04/04/2020 11:29,POS,POS,POS,NEU,POS,POS,POS,POS
417,04/04/2020 11:40,POS,POS,NEU,POS,NEG,POS,NEG,NEU
418,04/04/2020 11:44,NEG,NEG,NEU,NEU,NEG,POS,POS,NEU
419,04/04/2020 13:47,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEU
420,04/04/2020 13:56,POS,POS,POS,POS,POS,POS,POS,POS
421,04/04/2020 14:42,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
422,04/04/2020 16:32,POS,POS,POS,NEU,NEG,POS,POS,NEU
423,04/04/2020 16:35,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
424,04/04/2020 17:00,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
425,04/04/2020 20:02,POS,POS,NEU,NEG,NEG,POS,POS,NEG
426,04/04/2020 20:06,POS,POS,POS,POS,POS,POS,POS,NEU
427,04/04/2020 22:54,POS,POS,POS,POS,POS,POS,POS,POS
428,05/04/2020 00:10,NEG,NEG,NEU,NEU,NEG,POS,NEG,NEU
429,05/04/2020 06:16,POS,POS,NEU,NEU,NEG,POS,POS,NEU
430,05/04/2020 08:44,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
431,05/04/2020 12:27,POS,POS,POS,POS,POS,POS,POS,POS
432,05/04/2020 12:41,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
433,05/04/2020 14:00,POS,NEU,NEU,NEU,NEG,POS,NEG,NEU
434,05/04/2020 16:39,POS,NEU,NEU,NEU,NEG,POS,POS,NEG
435,05/04/2020 19:23,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
436,05/04/2020 21:29,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
437,05/04/2020 21:36,POS,NEU,NEU,NEU,NEG,NEG,POS,NEU
438,05/04/2020 21:37,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
439,05/04/2020 22:42,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
440,05/04/2020 22:48,NEG,NEG,NEG,POS,NEG,POS,NEG,POS
441,06/04/2020 07:43,NEG,NEG,NEU,POS,POS,POS,POS,NEU
442,06/04/2020 12:31,POS,POS,NEG,POS,NEG,POS,NEG,POS
443,06/04/2020 14:43,POS,POS,POS,POS,POS,POS,POS,POS
444,06/04/2020 17:11,POS,POS,POS,POS,POS,POS,POS,NEU
445,06/04/2020 17:51,POS,NEU,NEU,POS,NEG,NEG,POS,POS
446,06/04/2020 17:55,POS,POS,NEU,NEG,NEG,POS,NEG,NEU
447,06/04/2020 19:15,POS,POS,POS,POS,POS,POS,POS,POS
448,06/04/2020 19:33,NEG,NEG,NEG,POS,NEG,NEG,POS,POS
449,06/04/2020 22:17,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
450,06/04/2020 22:59,POS,POS,POS,NEU,POS,POS,POS,NEU
451,07/04/2020 00:04,POS,POS,NEU,POS,POS,POS,NEG,POS
452,07/04/2020 00:39,POS,POS,POS,NEU,POS,POS,POS,POS
453,07/04/2020 06:33,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEG
454,07/04/2020 07:19,NEG,NEG,NEG,NEU,NEG,NEG,NEG,POS
455,07/04/2020 09:05,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
456,07/04/2020 12:09,POS,POS,POS,POS,NEG,POS,POS,POS
457,07/04/2020 15:36,POS,POS,POS,POS,NEG,POS,POS,NEG
458,07/04/2020 16:33,POS,POS,POS,NEG,POS,POS,POS,NEU
459,07/04/2020 17:54,NEG,NEG,NEU,POS,NEG,POS,NEG,POS
460,07/04/2020 17:56,POS,POS,NEU,NEU,NEG,POS,NEG,NEU
461,07/04/2020 18:33,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEG
462,08/04/2020 07:00,POS,POS,POS,POS,POS,POS,POS,POS
463,08/04/2020 08:52,NEG,NEG,NEU,NEU,NEG,NEG,POS,NEU
464,08/04/2020 10:06,POS,POS,POS,POS,POS,POS,POS,POS
465,08/04/2020 12:29,NEG,NEU,NEU,POS,POS,POS,POS,NEU
466,08/04/2020 14:39,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
467,08/04/2020 15:15,POS,POS,NEU,POS,NEG,POS,POS,NEG
468,08/04/2020 15:41,POS,NEU,NEU,POS,NEG,POS,POS,NEU
469,08/04/2020 16:41,POS,NEU,NEU,NEU,POS,POS,POS,NEU
470,08/04/2020 17:31,POS,POS,POS,POS,NEG,POS,POS,POS
471,08/04/2020 18:09,NEG,NEU,NEU,NEU,POS,POS,POS,NEU
472,08/04/2020 18:22,NEG,NEU,NEG,NEG,NEG,NEG,NEG,NEG
473,08/04/2020 20:36,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
474,08/04/2020 20:49,POS,POS,POS,POS,POS,POS,POS,NEU
475,08/04/2020 23:10,POS,POS,POS,POS,POS,POS,POS,NEU
476,09/04/2020 01:52,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
477,09/04/2020 09:14,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEU
478,09/04/2020 10:13,NEG,NEG,NEU,NEU,NEG,POS,POS,POS
479,09/04/2020 10:14,POS,POS,POS,POS,NEG,POS,POS,NEU
480,09/04/2020 14:04,POS,POS,POS,POS,POS,POS,POS,NEU
481,09/04/2020 14:37,POS,POS,POS,POS,NEG,POS,POS,POS
482,09/04/2020 15:17,POS,POS,POS,POS,POS,POS,POS,POS
483,09/04/2020 15:43,POS,POS,POS,POS,POS,POS,POS,POS
484,09/04/2020 17:04,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEU
485,09/04/2020 17:31,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
486,09/04/2020 17:50,NEG,NEG,NEG,POS,NEG,NEG,NEG,POS
487,09/04/2020 18:37,POS,NEU,POS,POS,POS,NEG,POS,POS
488,09/04/2020 19:07,POS,POS,POS,POS,POS,NEG,POS,NEG
489,09/04/2020 19:13,POS,POS,POS,NEU,POS,POS,POS,NEU
490,09/04/2020 20:27,POS,POS,POS,POS,NEG,NEG,POS,POS
491,09/04/2020 20:56,POS,POS,NEU,POS,NEG,POS,NEG,NEG
492,10/04/2020 08:02,POS,POS,POS,POS,POS,POS,POS,POS
493,10/04/2020 09:49,NEG,NEG,NEU,NEU,NEG,NEG,NEG,POS
494,10/04/2020 11:33,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEU
495,10/04/2020 12:27,NEG,NEG,NEG,POS,POS,NEG,NEG,POS
496,10/04/2020 13:16,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
497,10/04/2020 13:33,NEG,NEU,NEG,NEG,NEG,NEG,NEG,NEU
498,10/04/2020 13:54,POS,POS,POS,POS,NEG,NEG,POS,POS
499,10/04/2020 16:36,POS,POS,POS,POS,POS,POS,POS,POS
500,10/04/2020 20:59,POS,POS,NEU,NEU,NEG,NEG,NEG,NEG
501,10/04/2020 21:47,POS,POS,POS,POS,POS,POS,POS,POS
502,11/04/2020 07:44,NEG,NEG,NEU,POS,POS,NEG,NEG,NEU
503,11/04/2020 08:28,POS,POS,POS,POS,NEG,NEG,NEG,NEU
504,11/04/2020 08:34,NEG,NEG,NEU,POS,NEG,POS,POS,POS
505,11/04/2020 08:51,POS,POS,POS,POS,NEG,POS,POS,POS
506,11/04/2020 09:00,NEG,NEG,NEU,NEG,POS,NEG,POS,POS
507,11/04/2020 10:32,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
508,11/04/2020 11:38,NEG,NEU,NEU,POS,NEG,NEG,NEG,POS
509,11/04/2020 15:47,POS,POS,POS,POS,NEG,POS,POS,POS
510,11/04/2020 17:18,POS,NEU,POS,POS,POS,POS,POS,POS
511,11/04/2020 17:20,POS,POS,POS,POS,POS,POS,POS,POS
512,11/04/2020 23:45,POS,POS,POS,POS,NEG,POS,POS,POS
513,12/04/2020 05:21,POS,POS,POS,POS,POS,POS,POS,NEU
514,12/04/2020 07:33,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEU
515,12/04/2020 08:16,POS,NEU,NEU,POS,NEG,NEG,POS,NEU
516,12/04/2020 08:33,POS,POS,POS,POS,POS,POS,POS,POS
517,12/04/2020 09:03,NEG,NEG,NEG,POS,POS,NEG,NEG,NEU
518,12/04/2020 09:34,NEG,NEG,NEU,NEG,NEG,NEG,NEG,NEG
519,12/04/2020 10:37,NEG,NEU,NEU,POS,POS,NEG,NEG,POS
520,12/04/2020 11:04,NEG,NEU,NEU,NEG,NEG,NEG,POS,NEG
521,12/04/2020 12:14,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEU
522,12/04/2020 19:19,NEG,NEU,NEU,POS,NEG,NEG,POS,POS
523,13/04/2020 07:52,POS,POS,POS,POS,NEG,POS,NEG,POS
524,13/04/2020 08:35,POS,NEU,POS,POS,POS,POS,POS,POS
525,13/04/2020 10:11,POS,NEU,NEU,NEU,NEG,NEG,NEG,NEU
526,13/04/2020 11:02,POS,POS,POS,POS,POS,NEG,POS,NEU
527,13/04/2020 12:49,POS,POS,NEU,NEU,NEG,NEG,NEG,NEU
528,13/04/2020 13:11,NEG,NEU,NEU,NEU,NEG,POS,NEG,NEU
529,13/04/2020 15:01,POS,POS,POS,POS,POS,POS,POS,POS
530,13/04/2020 17:03,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
531,13/04/2020 20:56,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
532,13/04/2020 21:52,POS,NEU,NEU,NEU,NEG,POS,POS,NEU
533,14/04/2020 08:06,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
534,14/04/2020 10:03,POS,POS,POS,POS,NEG,NEG,POS,NEG
535,14/04/2020 10:36,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
536,14/04/2020 10:42,POS,NEU,POS,POS,POS,POS,POS,POS
537,14/04/2020 11:35,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
538,14/04/2020 13:14,POS,POS,NEU,POS,NEG,NEG,POS,NEU
539,14/04/2020 13:57,POS,POS,NEG,NEG,NEG,NEG,NEG,NEG
540,14/04/2020 14:40,POS,POS,POS,POS,POS,POS,POS,POS
541,14/04/2020 16:53,NEG,NEU,NEU,POS,NEG,NEG,POS,POS
542,14/04/2020 17:22,POS,POS,NEU,NEU,NEG,NEG,NEG,NEU
543,14/04/2020 19:08,POS,POS,POS,POS,NEG,POS,POS,POS
544,14/04/2020 19:38,POS,NEU,NEU,NEU,NEG,NEG,NEG,NEU
545,15/04/2020 06:26,NEG,NEG,NEU,NEG,NEG,NEG,NEG,POS
546,15/04/2020 07:11,NEG,NEU,NEU,NEU,NEG,NEG,NEG,NEU
547,15/04/2020 09:06,POS,NEU,NEU,NEG,NEG,POS,POS,NEG
548,15/04/2020 10:22,POS,POS,POS,POS,POS,POS,POS,POS
549,15/04/2020 10:23,POS,POS,NEU,NEU,NEG,NEG,POS,NEU
550,15/04/2020 14:37,POS,POS,POS,POS,POS,POS,NEG,POS
551,15/04/2020 15:08,NEG,NEU,NEU,POS,NEG,POS,NEG,NEG
552,15/04/2020 16:26,NEG,NEG,NEG,POS,NEG,NEG,NEG,POS
553,15/04/2020 18:16,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
554,15/04/2020 19:51,NEG,NEG,NEU,NEG,NEG,NEG,POS,POS
555,15/04/2020 20:34,POS,POS,POS,POS,POS,POS,NEG,NEG
556,15/04/2020 20:45,NEG,NEG,NEU,NEG,POS,POS,POS,NEG
557,15/04/2020 20:58,POS,POS,POS,POS,POS,POS,POS,POS
558,15/04/2020 23:29,POS,NEU,POS,POS,POS,POS,POS,POS
559,16/04/2020 00:33,POS,POS,POS,POS,POS,POS,POS,POS
560,16/04/2020 07:46,POS,POS,POS,POS,POS,POS,POS,POS
561,16/04/2020 10:28,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
562,16/04/2020 10:44,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
563,16/04/2020 11:11,POS,POS,POS,POS,POS,POS,POS,NEU
564,16/04/2020 14:06,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
565,16/04/2020 14:53,POS,POS,POS,POS,POS,POS,POS,POS
566,16/04/2020 17:12,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
567,16/04/2020 19:18,POS,POS,POS,NEU,NEG,POS,POS,NEU
568,16/04/2020 19:31,POS,POS,NEU,POS,NEG,POS,NEG,POS
569,16/04/2020 22:24,POS,POS,NEU,NEU,NEG,POS,NEG,NEU
570,17/04/2020 00:27,POS,POS,POS,NEU,NEG,POS,POS,NEU
571,17/04/2020 05:07,NEG,NEG,NEU,POS,POS,POS,NEG,POS
572,17/04/2020 05:20,POS,POS,POS,POS,POS,POS,POS,POS
573,17/04/2020 10:39,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEG
574,17/04/2020 14:09,POS,POS,NEU,POS,NEG,NEG,NEG,POS
575,17/04/2020 15:54,POS,POS,POS,POS,POS,POS,POS,POS
576,17/04/2020 17:44,POS,POS,POS,POS,POS,POS,POS,POS
577,17/04/2020 18:04,POS,POS,POS,POS,POS,POS,POS,POS
578,17/04/2020 18:30,NEG,NEG,NEU,NEU,POS,POS,POS,NEU
579,17/04/2020 20:29,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
580,17/04/2020 22:20,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEU
581,17/04/2020 23:29,POS,NEU,NEU,NEU,NEG,NEG,POS,NEU
582,18/04/2020 06:35,POS,POS,POS,POS,POS,POS,POS,POS
583,18/04/2020 08:50,NEG,NEU,NEU,NEU,NEG,NEG,NEG,NEU
584,18/04/2020 10:16,POS,NEU,NEU,NEU,NEG,NEG,NEG,NEU
585,18/04/2020 10:22,NEG,NEG,NEU,POS,NEG,POS,NEG,NEU
586,18/04/2020 16:12,POS,POS,NEG,NEU,NEG,NEG,NEG,NEU
587,18/04/2020 19:18,NEG,NEG,NEU,NEG,NEG,NEG,NEG,NEG
588,19/04/2020 04:52,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
589,19/04/2020 06:53,NEG,NEG,NEU,POS,NEG,POS,POS,POS
590,19/04/2020 07:43,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
591,19/04/2020 08:32,POS,POS,NEU,NEU,NEG,POS,NEG,NEU
592,19/04/2020 08:34,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
593,19/04/2020 08:40,NEG,NEG,NEU,POS,NEG,NEG,NEG,POS
594,19/04/2020 12:54,POS,POS,NEU,POS,POS,NEG,POS,POS
595,19/04/2020 13:22,POS,POS,POS,NEG,POS,POS,POS,NEU
596,19/04/2020 13:35,POS,POS,NEU,NEU,NEG,NEG,NEG,NEU
597,19/04/2020 13:44,NEG,NEG,POS,NEU,NEG,POS,NEG,NEU
598,19/04/2020 17:24,POS,POS,NEU,POS,NEG,POS,NEG,POS
599,19/04/2020 18:39,POS,NEU,NEU,POS,NEG,POS,POS,NEG
600,19/04/2020 19:59,POS,POS,POS,NEG,NEG,NEG,POS,NEU
601,19/04/2020 20:17,POS,POS,POS,NEG,POS,POS,POS,POS
602,19/04/2020 22:31,NEG,NEG,NEG,POS,POS,POS,NEG,POS
603,20/04/2020 00:41,POS,POS,NEU,NEU,NEG,POS,POS,NEU
604,20/04/2020 04:27,POS,NEU,NEU,NEU,NEG,POS,POS,NEU
605,20/04/2020 11:27,POS,POS,NEU,POS,NEG,NEG,POS,NEU
606,20/04/2020 13:55,POS,POS,POS,POS,POS,POS,POS,POS
607,20/04/2020 15:22,POS,POS,POS,POS,POS,POS,POS,POS
608,20/04/2020 17:49,POS,POS,NEU,NEU,NEG,POS,POS,NEU
609,20/04/2020 18:06,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
610,20/04/2020 22:06,POS,POS,NEG,NEG,POS,POS,NEG,NEG
611,21/04/2020 05:17,NEG,NEU,NEU,POS,POS,NEG,POS,POS
612,21/04/2020 06:53,POS,NEU,NEU,NEU,NEG,NEG,POS,NEU
613,21/04/2020 06:55,NEG,NEU,NEU,POS,POS,NEG,NEG,POS
614,21/04/2020 07:32,POS,POS,POS,POS,POS,POS,POS,POS
615,21/04/2020 07:33,POS,POS,NEU,NEU,NEG,POS,POS,NEU
616,21/04/2020 08:07,POS,POS,NEU,NEU,NEG,POS,NEG,POS
617,21/04/2020 10:11,POS,POS,POS,POS,POS,POS,POS,POS
618,21/04/2020 10:42,POS,POS,POS,POS,NEG,POS,POS,NEU
619,21/04/2020 11:43,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
620,21/04/2020 12:19,POS,NEU,POS,POS,POS,POS,POS,POS
621,21/04/2020 17:45,POS,POS,POS,POS,POS,POS,POS,POS
622,21/04/2020 18:16,POS,POS,POS,POS,POS,POS,POS,POS
623,22/04/2020 07:26,POS,POS,POS,POS,POS,POS,POS,POS
624,22/04/2020 07:38,NEG,NEG,NEU,POS,NEG,NEG,NEG,POS
625,22/04/2020 08:37,POS,POS,POS,POS,POS,POS,POS,POS
626,22/04/2020 08:52,POS,POS,POS,POS,POS,POS,POS,POS
627,22/04/2020 09:48,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEU
628,22/04/2020 12:22,POS,POS,POS,POS,POS,POS,POS,POS
629,22/04/2020 12:30,POS,POS,NEU,NEU,NEG,NEG,NEG,NEU
630,22/04/2020 13:24,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
631,22/04/2020 13:33,NEG,NEG,NEU,POS,POS,POS,NEG,POS
632,22/04/2020 15:31,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
633,22/04/2020 15:57,POS,POS,NEU,POS,POS,POS,POS,POS
634,22/04/2020 16:16,POS,POS,POS,POS,NEG,POS,POS,POS
635,22/04/2020 16:33,NEG,NEU,NEU,NEU,NEG,NEG,POS,NEU
636,22/04/2020 21:14,NEG,NEG,NEU,NEU,POS,POS,POS,NEU
637,23/04/2020 04:45,POS,NEU,NEU,POS,POS,POS,NEG,POS
638,23/04/2020 09:16,POS,NEU,NEU,NEU,NEG,NEG,NEG,NEU
639,23/04/2020 10:27,POS,POS,POS,POS,POS,POS,POS,NEU
640,23/04/2020 12:13,POS,POS,POS,POS,POS,POS,POS,POS
641,23/04/2020 13:29,POS,POS,POS,POS,POS,POS,POS,POS
642,23/04/2020 16:04,NEG,NEG,POS,POS,POS,POS,POS,POS
643,23/04/2020 16:07,NEG,NEG,NEU,POS,NEG,NEG,NEG,NEU
644,23/04/2020 16:34,POS,POS,POS,POS,POS,POS,POS,POS
645,23/04/2020 17:49,POS,POS,POS,NEG,NEG,NEG,POS,NEG
646,23/04/2020 18:10,POS,POS,POS,POS,POS,POS,POS,NEU
647,23/04/2020 19:24,POS,POS,POS,POS,POS,POS,POS,POS
648,23/04/2020 19:33,POS,POS,POS,POS,POS,POS,POS,NEU
649,23/04/2020 19:59,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
650,24/04/2020 06:02,NEG,NEG,NEU,NEU,NEG,POS,POS,NEU
651,24/04/2020 07:42,POS,NEU,NEU,NEU,NEG,POS,NEG,NEU
652,24/04/2020 08:11,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS
653,24/04/2020 09:45,POS,POS,POS,POS,POS,POS,POS,POS
654,24/04/2020 10:50,POS,POS,POS,POS,NEG,POS,POS,POS
655,24/04/2020 10:54,NEG,NEG,NEU,POS,NEG,NEG,POS,POS
656,24/04/2020 11:46,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
657,24/04/2020 11:49,POS,NEU,POS,POS,NEG,NEG,NEG,POS
658,24/04/2020 13:33,POS,POS,POS,POS,POS,POS,POS,POS
659,24/04/2020 14:15,POS,NEU,NEU,POS,NEG,POS,POS,NEG
660,24/04/2020 15:09,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
661,24/04/2020 16:39,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
662,24/04/2020 17:53,POS,POS,NEU,NEG,NEG,POS,NEG,NEG
663,24/04/2020 19:06,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEU
